Time,Amplitude
0.010286054,-0.002079769
0.023280225,0.006464294
0.038642203,0.014804819
0.055010737,0.023556908
0.071686031,0.031849542
0.089262433,0.041379861
0.103028299,0.048957123
0.126217455,0.05795166
0.147498946,0.067040483
0.168099812,0.073941284
0.193215806,0.081196777
0.225066145,0.086773091
0.257692971,0.08729241
0.288512788,0.083365344
0.31881974,0.076862637
0.346222056,0.069910953
0.376634457,0.059573969
0.402718663,0.047786785
0.425227194,0.034128857
0.450371947,0.019156918
0.478795199,0.004621985
0.501217455,-0.009091317
0.524248437,-0.022999177
0.54712604,-0.035883365
0.570281644,-0.048059664
0.589636297,-0.059140455
0.615351432,-0.074456611
0.636982821,-0.085154274
0.665176004,-0.096109351
0.696307374,-0.105741438
0.739421565,-0.112428226
0.786312742,-0.112772443
0.816619694,-0.107481978
0.842574485,-0.098887032
0.866314851,-0.088562021
0.887620308,-0.077339054
0.907981518,-0.065381258
0.927297826,-0.054361827
0.945818475,-0.042549201
0.96395088,-0.030087052
0.991899613,-0.012558928
