Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
0.100012      	2.345229e-01	1.088839e-01	1.256390e-01	7.449309e-01	1.432049e-01	6.017261e-01	-2.292606e-01	-8.377518e-03	3.812189e-05	-3.865025e-03	-1.894391e-03	-1.970635e-03
0.100025      	2.345685e-01	1.089336e-01	1.256350e-01	7.450438e-01	1.432118e-01	6.018320e-01	-2.293101e-01	-8.350687e-03	3.934461e-05	-3.853426e-03	-1.887368e-03	-1.966058e-03
0.100037      	2.346020e-01	1.089813e-01	1.256207e-01	7.451278e-01	1.432122e-01	6.019156e-01	-2.293517e-01	-8.319728e-03	4.083981e-05	-3.838834e-03	-1.878577e-03	-1.960257e-03
0.100049      	2.346395e-01	1.090326e-01	1.256069e-01	7.452178e-01	1.432135e-01	6.020043e-01	-2.293954e-01	-8.287146e-03	4.223009e-05	-3.824416e-03	-1.869978e-03	-1.954438e-03
0.100062      	2.346774e-01	1.090750e-01	1.256024e-01	7.453015e-01	1.432146e-01	6.020869e-01	-2.294362e-01	-8.263686e-03	4.564664e-05	-3.810693e-03	-1.859700e-03	-1.950993e-03
0.100074      	2.347170e-01	1.091165e-01	1.256005e-01	7.453921e-01	1.432173e-01	6.021748e-01	-2.294787e-01	-8.241957e-03	4.768760e-05	-3.799936e-03	-1.852280e-03	-1.947656e-03
0.100086      	2.347548e-01	1.091642e-01	1.255905e-01	7.454869e-01	1.432197e-01	6.022672e-01	-2.295238e-01	-8.213159e-03	4.897959e-05	-3.785800e-03	-1.843920e-03	-1.941880e-03
0.100099      	2.347959e-01	1.092110e-01	1.255848e-01	7.455851e-01	1.432214e-01	6.023637e-01	-2.295712e-01	-8.186889e-03	5.182232e-05	-3.772548e-03	-1.834452e-03	-1.938097e-03
0.100111      	2.348354e-01	1.092503e-01	1.255851e-01	7.456733e-01	1.432219e-01	6.024514e-01	-2.296148e-01	-8.167387e-03	5.546299e-05	-3.759920e-03	-1.824497e-03	-1.935423e-03
0.100123      	2.348761e-01	1.092888e-01	1.255874e-01	7.457688e-01	1.432241e-01	6.025446e-01	-2.296602e-01	-8.149296e-03	5.885123e-05	-3.747868e-03	-1.815083e-03	-1.932785e-03
