Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1.19998e-06   	6.380244e+02	3.190404e+02	3.189840e+02	1.568217e+03	2.434629e+02	1.324754e+03	-5.406457e+02	2.824162e-02	-1.071502e-02	9.396997e-03	-6.016517e-03	1.541351e-02
2.57277e-06   	-3.381588e+02	-1.690949e+02	-1.690640e+02	-8.306942e+02	-1.291134e+02	-7.015807e+02	2.862336e+02	-1.544841e-02	-8.837442e-03	-5.437437e-02	-3.602463e-02	-1.834974e-02
3.93471e-06   	1.048177e+00	5.270763e-01	5.211010e-01	2.383722e+00	3.027039e-01	2.081018e+00	-8.891570e-01	2.987668e-03	1.597570e-03	1.166904e-02	7.432092e-03	4.236952e-03
5.44601e-06   	6.405799e-01	3.225087e-01	3.180713e-01	1.282583e+00	1.695569e-01	1.113026e+00	-4.717344e-01	2.218714e-03	7.140714e-04	5.669691e-03	3.548917e-03	2.120774e-03
6.93537e-06   	6.194094e-01	3.103371e-01	3.090723e-01	1.303173e+00	1.752757e-01	1.127898e+00	-4.763110e-01	6.324338e-04	2.631827e-04	2.195927e-03	1.361146e-03	8.347809e-04
8.41743e-06   	5.940147e-01	2.969435e-01	2.970712e-01	1.290910e+00	1.804310e-01	1.110479e+00	-4.650239e-01	-6.384643e-05	1.270358e-04	9.158018e-04	5.849367e-04	3.308651e-04
9.89446e-06   	5.774632e-01	2.884678e-01	2.889954e-01	1.286105e+00	1.851801e-01	1.100925e+00	-4.578726e-01	-2.637742e-04	2.451597e-05	3.898640e-04	2.194480e-04	1.704160e-04
1.13748e-05   	5.581430e-01	2.787699e-01	2.793731e-01	1.266618e+00	1.865202e-01	1.080098e+00	-4.467889e-01	-3.015997e-04	-1.162499e-05	2.616738e-04	1.192119e-04	1.424619e-04
1.2863e-05    	5.388715e-01	2.691667e-01	2.697048e-01	1.241966e+00	1.858387e-01	1.056127e+00	-4.351441e-01	-2.690778e-04	-4.310865e-05	2.069433e-04	6.036300e-05	1.465803e-04
1.43598e-05   	5.214951e-01	2.604915e-01	2.610036e-01	1.219097e+00	1.846517e-01	1.034445e+00	-4.248967e-01	-2.560542e-04	-7.456727e-05	1.315671e-04	-8.783702e-06	1.403508e-04
1.5865e-05    	5.059784e-01	2.527344e-01	2.532441e-01	1.198937e+00	1.834956e-01	1.015441e+00	-4.159728e-01	-2.548543e-04	-8.505207e-05	9.524656e-05	-3.742879e-05	1.326754e-04
1.73791e-05   	4.919593e-01	2.457160e-01	2.462433e-01	1.181017e+00	1.824568e-01	9.985597e-01	-4.080515e-01	-2.636721e-04	-9.186973e-05	5.737298e-05	-6.318324e-05	1.205562e-04
1.89025e-05   	4.786027e-01	2.390507e-01	2.395520e-01	1.163480e+00	1.814167e-01	9.820631e-01	-4.003232e-01	-2.506532e-04	-1.047989e-04	2.242551e-05	-9.358619e-05	1.160117e-04
2.04353e-05   	4.666680e-01	2.330485e-01	2.336195e-01	1.148433e+00	1.805285e-01	9.679045e-01	-3.936880e-01	-2.855056e-04	-1.009220e-04	-7.121657e-06	-1.044828e-04	9.736116e-05
2.19774e-05   	4.554978e-01	2.274588e-01	2.280389e-01	1.134579e+00	1.797145e-01	9.548648e-01	-3.875751e-01	-2.900594e-04	-1.032313e-04	-2.753348e-05	-1.169981e-04	8.946459e-05
2.35288e-05   	4.449557e-01	2.222119e-01	2.227438e-01	1.121317e+00	1.789278e-01	9.423893e-01	-3.817307e-01	-2.659344e-04	-1.155719e-04	-4.723292e-05	-1.391884e-04	9.195546e-05
2.50895e-05   	4.350946e-01	2.172754e-01	2.178192e-01	1.108815e+00	1.781616e-01	9.306533e-01	-3.762459e-01	-2.718606e-04	-1.172141e-04	-6.516625e-05	-1.497972e-04	8.463095e-05
2.66588e-05   	4.257840e-01	2.126054e-01	2.131786e-01	1.096949e+00	1.774330e-01	9.195164e-01	-3.710417e-01	-2.866032e-04	-1.141904e-04	-7.549073e-05	-1.519357e-04	7.644501e-05
2.82359e-05   	4.172891e-01	2.083358e-01	2.089533e-01	1.086601e+00	1.767863e-01	9.098151e-01	-3.665144e-01	-3.087093e-04	-1.096436e-04	-8.946228e-05	-1.543748e-04	6.491251e-05
2.98194e-05   	4.092039e-01	2.042873e-01	2.049167e-01	1.076529e+00	1.761499e-01	9.003786e-01	-3.621144e-01	-3.147066e-04	-1.106296e-04	-1.056262e-04	-1.634427e-04	5.781656e-05
3.14082e-05   	4.015893e-01	2.004863e-01	2.011030e-01	1.066968e+00	1.755442e-01	8.914234e-01	-3.579396e-01	-3.083374e-04	-1.152496e-04	-1.182670e-04	-1.743831e-04	5.611611e-05
