Time,Cl
0.011618942,0.562587117
0.02850944,0.581927798
0.072223916,0.598432488
0.119632067,0.613384137
0.183894856,0.60793402
0.227501748,0.62676345
0.244679134,0.645313141
0.282691722,0.675930258
0.322246329,0.702679239
0.369762063,0.725859117
0.390417959,0.748624207
0.40508508,0.772788
0.427713328,0.796749222
0.47322085,0.809318253
0.508400423,0.785810403
0.540029765,0.76310319
0.610890965,0.764810572
0.624374675,0.739093737
0.647756002,0.712884945
0.657474315,0.687486435
0.692546305,0.662917501
0.751429955,0.641010924
0.799806351,0.616393759
0.874397088,0.59832638
0.926395438,0.576641667
0.984848757,0.544481154
1.022144125,0.563870065
1.032400351,0.584358647
1.061340123,0.600998384
1.12553119,0.596368196
1.148015994,0.61628765
1.187104409,0.632811633
1.241110972,0.648756843
1.272202399,0.668058938
1.286403328,0.68854752
1.334313532,0.704936455
1.373796417,0.725425037
1.391475857,0.748768901
1.421993509,0.770038826
1.504366068,0.769488991
1.529325277,0.786562809
1.556220975,0.805228254
1.601549192,0.786186606
1.613670187,0.764318615
1.630991017,0.741997251
1.64960284,0.720158198
1.66308655,0.693332047
1.698660594,0.669891721
1.716662782,0.646065546
1.74316401,0.622644513
1.778702193,0.603033738
1.823743523,0.61513975
1.859138262,0.593869824
1.888831113,0.575455181
1.942837675,0.564805749
1.988667946,0.579033931
2.024098546,0.601229894
2.099047892,0.591159235
2.149468362,0.609631755
2.191102903,0.630120337
2.224453569,0.646625027
2.270212117,0.665406227
2.295099604,0.690332071
2.330530204,0.710251525
2.386688422,0.72789447
2.411289021,0.748450575
2.438292302,0.768370029
2.452780119,0.787720356
2.494307077,0.803655919
2.54831364,0.784074083
2.562658012,0.763440808
2.639651432,0.760122507
2.670922164,0.739373478
2.699754353,0.716203246
2.71044091,0.693332047
2.720732997,0.668830636
2.73737247,0.648670027
2.805042047,0.6450334
2.830395725,0.618824608
2.859192053,0.59824921
2.915493715,0.61309475
2.962722562,0.636072057
2.985530114,0.613287675
2.997400082,0.593368221
3.024439225,0.572069356
3.073317674,0.592249258
3.096017644,0.61250633
3.116422513,0.633072081
3.174302057,0.641811561
3.201341199,0.621670244
3.26144412,0.637673331
3.275645049,0.661277642
3.29418515,0.685180987
3.321296014,0.70339306
3.381398935,0.713309379
3.385917412,0.734039115
3.408617382,0.756119324
3.455631063,0.776656136
3.508131466,0.766816987
3.543131735,0.782492102
3.60570906,0.775247787
3.636908071,0.754141848
3.671980061,0.731762606
3.698373707,0.709663106
3.724767352,0.686010563
3.772569974,0.666978561
3.814491402,0.648052668
3.904538201,0.635985241
3.932151118,0.613731401
3.952914597,0.591834471
3.972171917,0.570718885
4.00961073,0.549960209
4.046439906,0.570197989
4.063868319,0.591680131
4.0885765,0.613306967
4.157465349,0.602676827
4.201251547,0.621458027
4.255329831,0.63739359
4.286528841,0.656743917
4.313567983,0.676663371
4.367502824,0.689213109
4.394326801,0.707994309
4.422907963,0.728116333
4.453891808,0.749733523
4.488354163,0.769112788
4.523713041,0.787893988
4.536120923,0.808951697
4.57567553,0.829372754
4.609241362,0.801369764
4.627673881,0.775469651
4.633770239,0.750273712
4.6669416,0.726765862
4.727259687,0.707724214
4.743648133,0.683676176
4.770687275,0.660679577
4.814365889,0.64444498
4.884187122,0.624988545
4.923418981,0.602098054
4.964515608,0.571355536
5.035663696,0.585670533
5.08780549,0.604345624
5.158666691,0.599310295
5.191945635,0.615245858
5.216689677,0.634596185
5.28263793,0.634210336
5.319897438,0.651901512
5.340625056,0.671820966
5.377561815,0.691190585
5.431102186,0.704859286
5.456025533,0.727055249
5.474673217,0.748682085
5.485754245,0.773077387
5.530508687,0.79504184
5.58645174,0.774562905
5.625576016,0.748788193
5.685714798,0.753948923
5.718348246,0.732322087
5.738824837,0.705466998
5.757329078,0.677676224
5.80477309,0.65440953
5.8359721,0.633129959
5.896541213,0.598220272
5.896541213,0.598220272
5.948934034,0.620339065
5.991967151,0.601065908
6.035107852,0.576477681
6.107403489,0.594303904
6.151082104,0.613104396
6.179986014,0.628470832
6.256692546,0.615843924
6.299331194,0.63841609
6.31998709,0.662888562
6.363593983,0.685084525
6.40160657,0.706036125
6.417959154,0.728724046
6.441591508,0.751161164
6.495347044,0.775093448
6.553513475,0.787614247
6.598985136,0.806520848
6.648939413,0.782974413
6.69541518,0.762321846
6.714959387,0.739556756
6.73005684,0.712740251
6.754657438,0.691701835
6.799340159,0.671126438
6.825016586,0.644020546
6.863244338,0.621863168
6.944325904,0.619625244
6.952609779,0.595615791
6.980473723,0.572079003
7.009521077,0.546863771
7.052518334,0.568384499
7.065284825,0.593136711
7.089311649,0.614300528
7.151745531,0.596368196
7.196571695,0.614657438
7.246310807,0.640268165
7.312796973,0.654448115
7.33732585,0.677907734
7.387315989,0.697258061
7.422674867,0.719454024
7.444083843,0.743694986
7.477362787,0.762476186
7.536102993,0.776009839
7.553029352,0.799430873
7.58835237,0.820488581
7.628516613,0.798678467
7.645156085,0.777900499
7.655448172,0.751016471
7.699162647,0.727479683
7.735991824,0.703682446
7.761453085,0.683550775
7.782252425,0.66169243
7.833390113,0.64066366
7.875383264,0.620831022
7.943232146,0.597110956
